name;sipri;alpha-3
Mujahedin (Afghanistan)*;XAM;
Myanmar;MYA;MMR
NATO**;NAT;
NLA (Macedonia)*;XMN;
NTC (Libya)*;XLB;
Namibia;NAM;NAM
Nepal;NEP;NPL
Netherlands;NET;NLD
New Zealand;NZ;NZL
Nicaragua;NIC;NIC
Niger;NIR;NER
Nigeria;NIG;NGA
North Korea;KON;PRK
North Yemen;YEN;YEM
Northern Alliance (Afghanistan)*;XAN;
Northern Cyprus;NCY;CYP
Norway;NOR;NOR
Oman;OMA;OMN
PAIGC (Portugal)*;XPP;
PIJ (Israel/Palestine)*;XID;
PKK (Turkey)*;XTP;
PLO (Israel)*;XIP;
PRC (Israel/Palestine)*;XPC;
Pakistan;PAK;PAK
Palau;PAL;PLW
Palestine;PA;PSE
Panama;PAN;PAN
Papua New Guinea;PAP;PNG
Paraguay;PAR;PRY
Pathet Lao (Laos)*;XLO;
Peru;PER;PER
Philippines;PHI;PHL
Poland;POL;POL
Portugal;POR;PRT
Provisional IRA (UK)*;XUI;
Qatar;QAT;QAT
RPF (Rwanda)*;XRR;
RUF (Sierra Leone)*;XSR;
Regional Security System**;RSS;
Romania;ROM;ROU
Russia;RUS;RUS
Rwanda;RWA;RWA
SLA (Lebanon)*;XLS;
SNA (Somalia)*;XSY;
SPLA (Sudan)*;XSP;
Saint Kitts and Nevis;SKN;KNA
Saint Vincent;SVG;VCT
Samoa;SAM;WSM
Saudi Arabia;SAU;SAU
Senegal;SEN;SEN
Serbia;SER;SRB
Seychelles;SEY;SYC
Sierra Leone;SIE;SLE
Singapore;SIN;SGP
Slovakia;SLK;SVK
Slovenia;SLO;SVN
Solomon Islands;SOL;SLB
Somalia;SOM;SOM
South Africa;SA;ZAF
South Korea;KOS;KOR
South Sudan;SSD;SDS
South Vietnam;VNS;
South Yemen;YES;YEM
Southern rebels (Yemen)*;XYS;
Soviet Union;USR;
Spain;SPA;ESP
Sri Lanka;SRI;LKA
Sudan;SUD;SDN
Suriname;SUR;SUR
Swaziland;SWA;SWZ
Sweden;SWE;SWE
Switzerland;SWI;CHE
Syria;SYR;SYR
Syria rebels*;XSX;
Taiwan (ROC);TAI;TWN
Tajikistan;TAJ;TJK
Tanzania;TAN;TZA
Thailand;THA;THA
Timor-Leste;ET;TLS
Togo;TOG;TGO
Tonga;TON;TON
Trinidad and Tobago;TRI;TTO
Tunisia;TUN;TUN
Turkey;TUR;TUR
Turkmenistan;TRK;TKM
Tuvalu;TUV;TUV
UAE;UAE;ARE
UIC (Somalia)*;XSI;
UNITA (Angola)*;XAU;
Uganda;UGA;UGA
Ukraine;UKR;UKR
Ukraine Rebels*;XUR;
United Kingdom;UK;GBR
United Nations**;UNO;
United States;USA;USA
United Wa State (Myanmar)*;XMU;
Unknown country;XXX;
Unknown rebel group*;XXU;
Uruguay;URU;URY
Uzbekistan;UZB;UZB
Vanuatu;VAN;VUT
Venezuela;VEN;VEN
Viet Cong (South Vietnam)*;XVC;
Viet Minh (France)*;XFV;
Viet Nam;VN;VNM
Western Sahara;SAH;ESH
Yemen;YEM;YEM
Yugoslavia;YUG;MKD
ZAPU (Zimbabwe)*;XZZ;
Zambia;ZAM;ZMB
Zimbabwe;ZIM;ZWE
